# Number of profiles
1
# ProfileID, Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
0,100,1E6,1E-9,"mips-plasma-xc3s1200e","Plasma Characterization xc3s1200e at 100MHz"
# Stall consumption
0.206
1,lb,4.44
2,lbu,2.47
3,lh,4.55
4,lhu,2.57
5,lw,3.34
6,lwl,3.34
7,lwr,3.34
8,sb,5.39
9,sh,5.68
10,sw,5.76
11,swl,5.76
12,swr,5.76
13,addi,1.64
14,addiu,1.64
15,slti,1.23
16,sltiu,1.23
17,andi,0.89
18,ori,0.98
19,xori,1.35
20,lui,0.88
21,add,1.83
22,addu,1.03
23,sub,1.19
24,subu,1.19
25,slt,1.35
26,sltu,1.35
27,instr_and,0.75
28,instr_or,1.01
29,instr_xor,1.67
30,instr_nor,1.53
31,nop,0.51
32,sll,0.76
33,srl,0.74
34,sra,0.75
35,sllv,0.76
36,srlv,0.75
37,srav,1.07
38,mult,1.43
39,multu,1.40
40,div,3.53
41,divu,3.47
42,mfhi,0.61
43,mthi,0.99
44,mflo,0.61
45,mtlo,0.94
46,j,3.50
47,jal,0.85
48,jr,6.14
49,jalr,6.37
50,beq,3.08
51,bne,3.08
52,blez,3.08
53,bgtz,3.08
54,bltz,3.08
55,bgez,3.08
56,bltzal,3.08
57,bgezal,3.08
58,sys_call,0
59,instr_break,0
